Your Score,Opponent Score, Total to Hold
0,0,21
0,1,21
0,2,21
0,3,21
0,4,21
0,5,21
0,6,21
0,7,21
0,8,21
0,9,21
0,10,22
0,11,22
0,12,22
0,13,22
0,14,22
0,15,22
0,16,23
0,17,23
0,18,23
0,19,23
0,20,23
0,21,23
0,22,23
0,23,23
0,24,23
0,25,23
0,26,24
0,27,24
0,28,24
0,29,24
0,30,24
0,31,25
0,32,25
0,33,25
0,34,25
0,35,25
0,36,26
0,37,26
0,38,26
0,39,26
0,40,26
0,41,26
0,42,26
0,43,26
0,44,26
0,45,26
0,46,26
0,47,26
0,48,27
0,49,28
0,50,29
0,51,30
0,52,30
0,53,29
0,54,28
0,55,28
0,56,29
0,57,29
0,58,30
0,59,31
0,60,32
0,61,32
0,62,32
0,63,32
0,64,32
0,65,37
0,66,39
0,67,39
0,68,39
0,69,39
0,70,40
0,71,38
0,72,36
0,73,34
0,74,30
0,75,28
0,76,30
0,77,48
0,78,49
0,79,49
0,80,49
0,81,49
0,82,49
0,83,49
0,84,100
0,85,100
0,86,100
0,87,100
0,88,100
0,89,100
0,90,100
0,91,100
0,92,100
0,93,100
0,94,100
0,95,100
0,96,100
0,97,100
0,98,100
0,99,100
1,0,21
1,1,21
1,2,21
1,3,21
1,4,21
1,5,21
1,6,21
1,7,21
1,8,21
1,9,21
1,10,21
1,11,22
1,12,22
1,13,22
1,14,22
1,15,22
1,16,22
1,17,23
1,18,23
1,19,23
1,20,23
1,21,23
1,22,23
1,23,23
1,24,23
1,25,23
1,26,23
1,27,24
1,28,24
1,29,24
1,30,24
1,31,24
1,32,25
1,33,25
1,34,25
1,35,25
1,36,25
1,37,26
1,38,26
1,39,26
1,40,26
1,41,26
1,42,26
1,43,26
1,44,26
1,45,26
1,46,26
1,47,27
1,48,28
1,49,29
1,50,29
1,51,30
1,52,29
1,53,28
1,54,28
1,55,28
1,56,28
1,57,29
1,58,30
1,59,31
1,60,32
1,61,32
1,62,32
1,63,33
1,64,35
1,65,37
1,66,38
1,67,39
1,68,39
1,69,39
1,70,39
1,71,38
1,72,35
1,73,33
1,74,29
1,75,28
1,76,29
1,77,48
1,78,49
1,79,49
1,80,49
1,81,49
1,82,49
1,83,49
1,84,99
1,85,99
1,86,99
1,87,99
1,88,99
1,89,99
1,90,99
1,91,99
1,92,99
1,93,99
1,94,99
1,95,99
1,96,99
1,97,99
1,98,99
1,99,99
2,0,21
2,1,21
2,2,21
2,3,21
2,4,21
2,5,21
2,6,21
2,7,21
2,8,21
2,9,21
2,10,21
2,11,21
2,12,22
2,13,22
2,14,22
2,15,22
2,16,22
2,17,22
2,18,23
2,19,23
2,20,23
2,21,23
2,22,23
2,23,23
2,24,23
2,25,23
2,26,23
2,27,24
2,28,24
2,29,24
2,30,24
2,31,24
2,32,24
2,33,25
2,34,25
2,35,25
2,36,25
2,37,25
2,38,25
2,39,25
2,40,25
2,41,25
2,42,25
2,43,25
2,44,25
2,45,26
2,46,26
2,47,27
2,48,28
2,49,29
2,50,29
2,51,29
2,52,29
2,53,28
2,54,27
2,55,28
2,56,28
2,57,29
2,58,31
2,59,32
2,60,32
2,61,32
2,62,32
2,63,34
2,64,35
2,65,37
2,66,38
2,67,38
2,68,38
2,69,39
2,70,38
2,71,37
2,72,35
2,73,32
2,74,29
2,75,28
2,76,29
2,77,48
2,78,48
2,79,48
2,80,48
2,81,48
2,82,48
2,83,48
2,84,98
2,85,98
2,86,98
2,87,98
2,88,98
2,89,98
2,90,98
2,91,98
2,92,98
2,93,98
2,94,98
2,95,98
2,96,98
2,97,98
2,98,98
2,99,98
3,0,21
3,1,21
3,2,21
3,3,21
3,4,21
3,5,21
3,6,21
3,7,21
3,8,21
3,9,21
3,10,21
3,11,21
3,12,22
3,13,22
3,14,22
3,15,22
3,16,22
3,17,22
3,18,22
3,19,22
3,20,22
3,21,23
3,22,23
3,23,23
3,24,23
3,25,23
3,26,23
3,27,24
3,28,24
3,29,24
3,30,24
3,31,24
3,32,24
3,33,24
3,34,25
3,35,25
3,36,25
3,37,25
3,38,25
3,39,25
3,40,25
3,41,25
3,42,25
3,43,25
3,44,25
3,45,26
3,46,27
3,47,27
3,48,28
3,49,29
3,50,29
3,51,29
3,52,28
3,53,27
3,54,27
3,55,28
3,56,28
3,57,29
3,58,31
3,59,32
3,60,32
3,61,32
3,62,32
3,63,34
3,64,36
3,65,37
3,66,38
3,67,38
3,68,38
3,69,38
3,70,38
3,71,36
3,72,34
3,73,31
3,74,28
3,75,28
3,76,29
3,77,47
3,78,48
3,79,48
3,80,48
3,81,48
3,82,48
3,83,48
3,84,97
3,85,97
3,86,97
3,87,97
3,88,97
3,89,97
3,90,97
3,91,97
3,92,97
3,93,97
3,94,97
3,95,97
3,96,97
3,97,97
3,98,97
3,99,97
4,0,20
4,1,21
4,2,21
4,3,21
4,4,21
4,5,21
4,6,21
4,7,21
4,8,21
4,9,21
4,10,21
4,11,21
4,12,22
4,13,22
4,14,22
4,15,22
4,16,22
4,17,22
4,18,22
4,19,22
4,20,22
4,21,22
4,22,23
4,23,23
4,24,23
4,25,23
4,26,23
4,27,23
4,28,24
4,29,24
4,30,24
4,31,24
4,32,24
4,33,24
4,34,25
4,35,25
4,36,25
4,37,25
4,38,25
4,39,25
4,40,25
4,41,25
4,42,25
4,43,25
4,44,26
4,45,26
4,46,27
4,47,28
4,48,28
4,49,29
4,50,29
4,51,28
4,52,28
4,53,27
4,54,27
4,55,28
4,56,29
4,57,30
4,58,31
4,59,32
4,60,32
4,61,32
4,62,32
4,63,34
4,64,35
4,65,37
4,66,37
4,67,37
4,68,38
4,69,38
4,70,37
4,71,35
4,72,33
4,73,30
4,74,27
4,75,28
4,76,29
4,77,47
4,78,47
4,79,47
4,80,47
4,81,47
4,82,47
4,83,47
4,84,96
4,85,96
4,86,96
4,87,96
4,88,96
4,89,96
4,90,96
4,91,96
4,92,96
4,93,96
4,94,96
4,95,96
4,96,96
4,97,96
4,98,96
4,99,96
5,0,20
5,1,20
5,2,20
5,3,20
5,4,20
5,5,21
5,6,21
5,7,21
5,8,21
5,9,21
5,10,21
5,11,21
5,12,22
5,13,22
5,14,22
5,15,22
5,16,22
5,17,22
5,18,22
5,19,22
5,20,22
5,21,22
5,22,23
5,23,23
5,24,23
5,25,23
5,26,23
5,27,23
5,28,24
5,29,24
5,30,24
5,31,24
5,32,24
5,33,24
5,34,24
5,35,25
5,36,25
5,37,25
5,38,25
5,39,25
5,40,25
5,41,25
5,42,25
5,43,25
5,44,26
5,45,26
5,46,27
5,47,28
5,48,28
5,49,28
5,50,28
5,51,28
5,52,27
5,53,26
5,54,27
5,55,28
5,56,29
5,57,31
5,58,31
5,59,31
5,60,31
5,61,32
5,62,33
5,63,34
5,64,36
5,65,37
5,66,37
5,67,37
5,68,37
5,69,37
5,70,36
5,71,35
5,72,32
5,73,29
5,74,26
5,75,27
5,76,30
5,77,46
5,78,47
5,79,47
5,80,47
5,81,47
5,82,47
5,83,47
5,84,95
5,85,95
5,86,95
5,87,95
5,88,95
5,89,95
5,90,95
5,91,95
5,92,95
5,93,95
5,94,95
5,95,95
5,96,95
5,97,95
5,98,95
5,99,95
6,0,20
6,1,20
6,2,20
6,3,20
6,4,20
6,5,20
6,6,21
6,7,21
6,8,21
6,9,21
6,10,21
6,11,22
6,12,22
6,13,22
6,14,22
6,15,22
6,16,22
6,17,22
6,18,22
6,19,22
6,20,22
6,21,22
6,22,22
6,23,23
6,24,23
6,25,23
6,26,23
6,27,23
6,28,24
6,29,24
6,30,24
6,31,24
6,32,24
6,33,24
6,34,24
6,35,24
6,36,25
6,37,25
6,38,25
6,39,25
6,40,25
6,41,25
